epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1726.92,1.98065,1.70531,1.82296,0.70103,0.60673,0.64137,0.31042,1.77315,1.22226,1.5615,0.000199938,0.000199938,0.0802061
2,3426.34,1.65597,1.35639,1.4913,0.74675,0.61491,0.67548,0.36086,1.62334,1.0922,1.45828,0.000395979,0.000395979,0.0604022
3,5167.21,1.60786,1.27483,1.44681,0.76351,0.64272,0.70568,0.38348,1.54806,1.03111,1.4026,0.000588059,0.000588059,0.0405942
4,6871.99,1.56789,1.20601,1.42129,0.76435,0.65805,0.71402,0.39578,1.5204,0.99422,1.39135,0.00077618,0.00077618,0.0207824
5,8560.84,1.54528,1.17852,1.41228,0.75891,0.66668,0.7258,0.40277,1.52552,0.96708,1.39651,0.000960341,0.000960341,0.000966521
6,10256.4,1.52837,1.14207,1.40301,0.77288,0.66987,0.7337,0.40727,1.50806,0.94874,1.37645,0.0009505,0.0009505,0.0009505
7,12000,1.50459,1.10206,1.38707,0.78162,0.68276,0.74636,0.43329,1.40996,0.9169,1.32807,0.0009406,0.0009406,0.0009406
8,13730.3,1.48597,1.07356,1.3733,0.78096,0.68348,0.74724,0.42383,1.45673,0.92087,1.35071,0.0009307,0.0009307,0.0009307
9,15472.7,1.4778,1.06099,1.3654,0.79032,0.6924,0.75664,0.43123,1.46081,0.91712,1.34671,0.0009208,0.0009208,0.0009208
10,17207.7,1.47183,1.0477,1.3614,0.78109,0.69027,0.75765,0.43042,1.45692,0.90332,1.34263,0.0009109,0.0009109,0.0009109
11,18937.8,1.46206,1.03337,1.35307,0.79657,0.70167,0.76542,0.43566,1.43371,0.88202,1.33575,0.000901,0.000901,0.000901
12,20646.4,1.46547,1.03289,1.34995,0.79159,0.70891,0.76981,0.43393,1.46098,0.89637,1.3319,0.0008911,0.0008911,0.0008911
13,22402.8,1.45584,1.01561,1.33671,0.79989,0.70866,0.77611,0.43957,1.46282,0.88065,1.33392,0.0008812,0.0008812,0.0008812
14,24135.4,1.44587,1.01108,1.33438,0.79858,0.71161,0.77491,0.4354,1.47573,0.87745,1.3433,0.0008713,0.0008713,0.0008713
15,25905.1,1.44487,1.0016,1.33034,0.81109,0.71566,0.7822,0.44765,1.45205,0.85787,1.32929,0.0008614,0.0008614,0.0008614
16,27643.6,1.43581,0.99013,1.32174,0.79797,0.71562,0.78087,0.44457,1.46141,0.86111,1.32777,0.0008515,0.0008515,0.0008515
17,29378.6,1.42558,0.98161,1.31837,0.80443,0.71457,0.77884,0.44861,1.43247,0.84809,1.31523,0.0008416,0.0008416,0.0008416
18,31150.5,1.42496,0.97097,1.31899,0.80777,0.72525,0.78868,0.4586,1.41013,0.85329,1.30184,0.0008317,0.0008317,0.0008317
19,32864.9,1.42609,0.96587,1.31721,0.81013,0.72604,0.79201,0.45116,1.44495,0.84761,1.32136,0.0008218,0.0008218,0.0008218
20,34579.8,1.4154,0.95373,1.31237,0.81372,0.72791,0.79426,0.45703,1.42782,0.83695,1.30745,0.0008119,0.0008119,0.0008119
21,36292.4,1.41005,0.94447,1.3051,0.80995,0.72648,0.79233,0.46193,1.40474,0.83323,1.29589,0.000802,0.000802,0.000802
22,38009.5,1.421,0.95277,1.30485,0.80866,0.73123,0.79593,0.46005,1.41806,0.82095,1.30513,0.0007921,0.0007921,0.0007921
23,39746.4,1.41387,0.94134,1.30312,0.81179,0.73333,0.79502,0.46118,1.41448,0.8289,1.30109,0.0007822,0.0007822,0.0007822
24,41476.3,1.41161,0.94029,1.3044,0.8076,0.73471,0.79496,0.46459,1.39329,0.82472,1.29007,0.0007723,0.0007723,0.0007723
25,43187.2,1.40651,0.93206,1.29952,0.81317,0.73143,0.79739,0.46362,1.41877,0.81937,1.30157,0.0007624,0.0007624,0.0007624
26,1741.46,2.184,2.19209,2.31048,0.66581,0.56502,0.6001,0.3163,1.68741,1.29379,1.69725,0.0007525,0.0007525,0.0007525
27,3511.38,1.73065,1.50278,1.68285,0.7207,0.61958,0.66896,0.36269,1.58976,1.13054,1.55906,0.0007426,0.0007426,0.0007426
28,5250.49,1.64398,1.35426,1.57987,0.7419,0.63991,0.6957,0.3849,1.54236,1.05366,1.50511,0.0007327,0.0007327,0.0007327
29,7015.96,1.58468,1.25844,1.52259,0.7592,0.65184,0.71209,0.39694,1.52312,1.02068,1.47784,0.0007228,0.0007228,0.0007228
30,8731.75,1.55809,1.21124,1.50124,0.76352,0.66104,0.7234,0.40671,1.49593,0.97478,1.45134,0.0007129,0.0007129,0.0007129
31,10505.1,1.54064,1.17986,1.48366,0.772,0.66992,0.73192,0.4148,1.47556,0.96541,1.42739,0.000703,0.000703,0.000703
32,12260,1.51783,1.14142,1.46607,0.77256,0.68592,0.74604,0.42595,1.45568,0.93356,1.41369,0.0006931,0.0006931,0.0006931
33,13995.4,1.49953,1.11218,1.44353,0.78199,0.68143,0.74748,0.42641,1.45747,0.92755,1.40814,0.0006832,0.0006832,0.0006832
34,15737.3,1.48925,1.09239,1.43554,0.78757,0.68715,0.75162,0.42367,1.4834,0.91932,1.41827,0.0006733,0.0006733,0.0006733
35,17475.3,1.48353,1.07638,1.42646,0.79278,0.68859,0.75447,0.42995,1.45843,0.91103,1.40072,0.0006634,0.0006634,0.0006634
36,19210,1.47138,1.06141,1.41628,0.79266,0.69584,0.76057,0.4346,1.4488,0.89201,1.39052,0.0006535,0.0006535,0.0006535
37,20923.4,1.46683,1.05474,1.40711,0.79389,0.69753,0.76272,0.434,1.45422,0.89152,1.39343,0.0006436,0.0006436,0.0006436
38,22659,1.45989,1.03252,1.3999,0.79505,0.70155,0.76849,0.44178,1.4371,0.87821,1.38026,0.0006337,0.0006337,0.0006337
39,24391.4,1.44901,1.02822,1.39813,0.79689,0.70424,0.76936,0.43911,1.45045,0.87555,1.38429,0.0006238,0.0006238,0.0006238
40,26157,1.44925,1.01859,1.39391,0.79744,0.7061,0.77226,0.44163,1.44395,0.86987,1.37838,0.0006139,0.0006139,0.0006139
41,27891.9,1.43943,1.00203,1.38257,0.80295,0.70772,0.7745,0.44503,1.43415,0.86071,1.37355,0.000604,0.000604,0.000604
42,29624.2,1.43351,0.99911,1.38146,0.80558,0.7102,0.77909,0.45139,1.41244,0.84758,1.36215,0.0005941,0.0005941,0.0005941
