epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.065,1.65793,1.13,0.96216,0.63465,0.45303,0.45987,0.23006,1.66129,1.06418,0.95112,0.00033251,0.00033251,0.0670815
2,546.2,1.64366,1.03178,0.95502,0.66275,0.49541,0.529,0.27143,1.62638,0.94818,0.93074,0.00065266,0.00065266,0.0340683
3,807.8,1.62784,1.01936,0.95254,0.66541,0.50052,0.53507,0.28449,1.55729,0.94539,0.91974,0.00095961,0.00095961,0.00104191
4,1068.77,1.60022,0.98572,0.94344,0.66856,0.52005,0.54949,0.28487,1.60426,0.94601,0.92372,0.0009406,0.0009406,0.0009406
5,1329.45,1.57054,0.95643,0.93629,0.70111,0.53548,0.57161,0.3036,1.50059,0.83192,0.90176,0.0009208,0.0009208,0.0009208
6,1590.36,1.53939,0.926,0.92873,0.7087,0.54294,0.58309,0.30638,1.54258,0.83755,0.90774,0.000901,0.000901,0.000901
7,1851.92,1.52647,0.90665,0.92279,0.67914,0.56309,0.5894,0.31518,1.4873,0.85506,0.89868,0.0008812,0.0008812,0.0008812
8,2112.94,1.51131,0.89273,0.91674,0.72462,0.55922,0.60635,0.32606,1.473,0.79963,0.89487,0.0008614,0.0008614,0.0008614
9,2373.34,1.49091,0.8748,0.91623,0.72019,0.57647,0.61141,0.32853,1.45203,0.78149,0.88751,0.0008416,0.0008416,0.0008416
10,2634.4,1.48122,0.86851,0.9089,0.72075,0.58089,0.62136,0.3326,1.44874,0.77773,0.8871,0.0008218,0.0008218,0.0008218
11,2895.28,1.46077,0.85513,0.90814,0.72284,0.58275,0.62436,0.35202,1.33264,0.77995,0.87222,0.000802,0.000802,0.000802
12,3157.02,1.45261,0.84661,0.90344,0.72618,0.58264,0.62868,0.3489,1.35199,0.76652,0.87501,0.0007822,0.0007822,0.0007822
13,3418.71,1.44524,0.83833,0.9037,0.73256,0.58366,0.63332,0.35384,1.35503,0.73967,0.87371,0.0007624,0.0007624,0.0007624
14,3679.95,1.42602,0.82729,0.90125,0.73434,0.58723,0.63692,0.35859,1.32563,0.73601,0.86919,0.0007426,0.0007426,0.0007426
15,3941.49,1.41959,0.81738,0.89654,0.74134,0.60236,0.64831,0.3652,1.31938,0.73691,0.86787,0.0007228,0.0007228,0.0007228
16,4203.13,1.41193,0.81444,0.89571,0.73827,0.59357,0.64105,0.36194,1.33101,0.73985,0.87091,0.000703,0.000703,0.000703
17,4464.22,1.40726,0.8112,0.89322,0.75078,0.58717,0.64119,0.36536,1.29693,0.71992,0.86604,0.0006832,0.0006832,0.0006832
18,4724.89,1.39847,0.80257,0.89214,0.74726,0.59232,0.64404,0.36746,1.29562,0.717,0.86651,0.0006634,0.0006634,0.0006634
19,4986.07,1.39354,0.79808,0.89327,0.74941,0.60182,0.64923,0.37252,1.27751,0.71034,0.86454,0.0006436,0.0006436,0.0006436
20,5247.68,1.39085,0.79406,0.89071,0.75287,0.60898,0.65961,0.37639,1.27661,0.70455,0.86064,0.0006238,0.0006238,0.0006238
21,5508.69,1.38309,0.78211,0.88909,0.74924,0.61003,0.65838,0.37829,1.26372,0.73519,0.86141,0.000604,0.000604,0.000604
22,5769.41,1.38226,0.78108,0.88833,0.75326,0.60094,0.65398,0.37532,1.26838,0.69981,0.86023,0.0005842,0.0005842,0.0005842
23,6030.69,1.38064,0.77726,0.88529,0.75451,0.60021,0.65132,0.37457,1.27078,0.69915,0.86083,0.0005644,0.0005644,0.0005644
24,6291.66,1.36888,0.76991,0.88455,0.76133,0.60838,0.66173,0.37975,1.26109,0.69069,0.85712,0.0005446,0.0005446,0.0005446
25,6552.9,1.36027,0.76439,0.88335,0.7589,0.61241,0.66574,0.38286,1.25809,0.69275,0.85803,0.0005248,0.0005248,0.0005248
26,6814.3,1.37311,0.7714,0.88295,0.75954,0.61534,0.66713,0.38499,1.25858,0.68763,0.85731,0.000505,0.000505,0.000505
27,7075.57,1.35204,0.75485,0.88048,0.7553,0.62157,0.67012,0.38843,1.24557,0.69006,0.85704,0.0004852,0.0004852,0.0004852
28,7337.02,1.35449,0.75546,0.8799,0.76092,0.61811,0.66706,0.38646,1.24006,0.67837,0.85447,0.0004654,0.0004654,0.0004654
29,7597.63,1.33387,0.74206,0.87614,0.75724,0.6238,0.67155,0.39077,1.24065,0.68012,0.85393,0.0004456,0.0004456,0.0004456
30,7857.99,1.33028,0.74327,0.87672,0.76565,0.62416,0.67596,0.39191,1.24142,0.67625,0.85504,0.0004258,0.0004258,0.0004258
31,8118.97,1.33677,0.74216,0.87609,0.76584,0.62234,0.67499,0.39017,1.25119,0.67674,0.85615,0.000406,0.000406,0.000406
32,8379.45,1.32919,0.73866,0.87695,0.77002,0.61914,0.67201,0.39236,1.23112,0.66824,0.85327,0.0003862,0.0003862,0.0003862
