epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1081.77,1.48003,1.09253,1.05312,0.73933,0.64614,0.6912,0.37683,1.49329,0.9103,1.03107,9.99382e-05,9.99382e-05,0.0801123
2,2131.3,1.42447,0.9715,1.03644,0.76993,0.64479,0.69951,0.37611,1.5138,0.85414,1.029,0.000197959,0.000197959,0.0602103
3,3177.51,1.40937,0.94344,1.02434,0.76172,0.6588,0.70731,0.38288,1.48784,0.83337,1.01354,0.000293999,0.000293999,0.0403064
4,4219.51,1.37898,0.90969,1.0143,0.78453,0.6809,0.73854,0.42246,1.35506,0.77693,0.99436,0.00038806,0.00038806,0.0204004
5,5259.79,1.36659,0.88908,1.01208,0.79222,0.69084,0.75277,0.4413,1.28418,0.76424,0.97105,0.000480141,0.000480141,0.000492502
6,6299.86,1.35268,0.87444,1.00751,0.78774,0.69179,0.7559,0.45307,1.23577,0.75662,0.96285,0.00047525,0.00047525,0.00047525
7,7340.62,1.33679,0.85122,1.00074,0.79251,0.6938,0.75813,0.45581,1.23494,0.73949,0.95704,0.0004703,0.0004703,0.0004703
8,8380.8,1.32578,0.83763,0.99377,0.80291,0.70562,0.76672,0.45583,1.25316,0.72656,0.96425,0.00046535,0.00046535,0.00046535
9,9443.04,1.32483,0.83252,0.99365,0.7975,0.7141,0.77204,0.455,1.27996,0.74309,0.96727,0.0004604,0.0004604,0.0004604
10,10483.8,1.31835,0.82798,0.99255,0.79635,0.71956,0.77509,0.46444,1.2368,0.71966,0.95812,0.00045545,0.00045545,0.00045545
11,11525.4,1.3029,0.81114,0.9862,0.80598,0.71362,0.77566,0.46772,1.21618,0.71661,0.95417,0.0004505,0.0004505,0.0004505
12,12568.1,1.30589,0.80735,0.98508,0.80892,0.71001,0.77945,0.47016,1.21254,0.71242,0.95086,0.00044555,0.00044555,0.00044555
13,13631.5,1.30426,0.79549,0.98411,0.8156,0.72186,0.78461,0.47377,1.21465,0.70858,0.94909,0.0004406,0.0004406,0.0004406
14,14673.6,1.29699,0.79142,0.98542,0.80796,0.73062,0.78717,0.47569,1.22385,0.69684,0.95053,0.00043565,0.00043565,0.00043565
